theSame,resumeId,rNum,leftEmployer,startDate,endDate,jobLength_old,employerName,employeesTotalNum,empAgeAtExit,yearFounded,gdSectorName,metro,jobTitle,avgSalary,ratingOverall,ratingCeo,ratingRecommendToFriend,ratingBusinessOutlook,ratingCareerOpportunities,ratingCompensationAndBenefits,ratingCultureAndValues,ratingWorkLifeBalance,ratingSeniorManagement,salaryIncrease,newMinusOldSalary,startDate_new,endDate_new,jobLength_new,employerName_new,employeesTotalNum_new,yearFounded_new,gdSectorName_new,metro_new,jobTitle_new,avgSalary_new,ratingOverall_new,ratingCeo_new,ratingRecommendToFriend_new,ratingBusinessOutlook_new,ratingCareerOpportunities_new,ratingCompensationAndBenefits_new,ratingCultureAndValues_new,ratingWorkLifeBalance_new,ratingSeniorManagement_new
0,2596803,1,1,2013-01-01,2014-02-01,13,Rockwell Automation,22500,111,1903,Manufacturing,Milwaukee,contractor,30480.0,3.82,0.89,0.78,0.48,3.38,3.55,3.7,3.74,3.33,1,31496.0,2014-04-01,2014-08-01,4,GE HEALTHCARE,10000,1892,Manufacturing,Milwaukee,Sourcing Specialist,61976.0,3.43,0.76,0.67,0.29,3.7,3.27,3.29,2.82,2.82
0,2599279,1,0,2012-03-01,2012-08-01,5,Wayne State University,8500,144,1868,Education,Detroit,Student Assistant,16840.0,3.71,0.81,0.73,0.43,2.94,3.61,3.15,3.62,2.99,1,4816.040000000001,2013-08-01,2014-05-01,9,Wayne State University,8500,1868,Education,Detroit,Graduate Teaching Assistant,21656.04,3.69,0.82,0.84,0.27,3.03,3.59,3.25,3.8,3.04
0,2615474,1,0,2012-12-01,2014-03-01,15,BMO HARRIS BANK,14500,132,1882,Finance,Chicago,Universal Banker,29895.217777777772,2.82,0.49,0.43,0.36,2.77,3.17,3.05,2.94,2.63,1,5022.963174603185,2014-03-01,2014-08-01,5,BMO HARRIS BANK,14500,1882,Finance,Chicago,Personal Banker,34918.18095238096,2.82,0.49,0.43,0.36,2.77,3.17,3.05,2.94,2.63
0,2616367,1,1,2012-09-01,2013-06-01,9,Illinois Institute of Technology,1662,122,1891,Education,Chicago,Hardware Engineer,62891.55,3.61,0.94,0.84,0.3,3.39,3.18,3.7199999999999998,3.96,3.34,0,-40165.12230769231,2013-09-01,2014-05-01,8,University of Illinois,1001,1982,Education,Chicago,Teaching Assistant,22726.42769230769,3.51,0.61,0.73,0.24,3.31,3.36,3.36,3.86,2.93
0,2616997,1,0,2011-01-01,2014-01-01,36,Cal State University,7500,65,1949,Education,Los Angeles,Lab Assistant,23451.428571428572,3.9,0.54,0.67,0.31,2.82,3.38,4.11,4.1,3.48,1,3189.5603174602984,2012-01-01,2014-01-01,24,Cal State University,7500,1949,Education,Los Angeles,Teaching Assistant,26640.98888888887,4.07,1.0,0.92,0.19,2.75,3.18,4.25,4.58,3.6
0,2619898,1,0,2013-04-01,2014-01-01,9,University of Pittsburgh,9607,227,1787,Education,Pittsburgh,Teaching Assistant,28337.714285714286,3.9,0.87,0.87,0.37,3.42,3.6,3.74,3.7199999999999998,3.39,0,-42.308730158725666,2013-07-01,2013-10-01,3,University of Pittsburgh,9607,1787,Education,Pittsburgh,Research Assistant,28295.40555555556,3.7800000000000002,0.88,0.8,0.35,3.34,3.61,3.7199999999999998,3.87,3.2800000000000002
0,2628003,1,0,2013-01-01,2013-09-01,8,Nordstrom,72500,112,1901,Retail,Houston,Sales Associate,20301.43972602739,3.68,0.99,0.68,0.45,4.14,4.3,3.95,2.9699999999999998,3.48,1,12114.682349444374,2013-09-01,2014-02-01,5,Nordstrom,72500,1901,Retail,Houston,Assistant Manager,32416.122075471765,3.68,0.99,0.68,0.45,4.14,4.3,3.95,2.9699999999999998,3.48
0,2633162,1,1,2011-06-01,2013-01-01,19,American Airlines,118500,79,1934,Travel & Tourism,Chicago,Fleet Service Clerk,24200.0,2.49,0.0,0.3,0.22,2.38,2.41,2.31,2.34,1.6400000000000001,0,-175.38461538461706,2012-03-01,2013-07-01,16,Chicago Tribune,3070,1847,Media,Chicago,Security Officer,24024.615384615383,2.81,1.0,0.46,1.0,2.56,3.3,5.0,3.84,2.5300000000000002
0,2634356,1,0,2011-08-01,2012-05-01,9,Yahoo! Inc,11260,18,1994,Information Technology,San Jose,Project Coordinator,60274.37333333332,3.31,0.91,0.62,0.37,3.2800000000000002,3.8,3.64,4.01,2.38,1,8795.477666666688,2012-05-01,2014-03-01,22,Yahoo! Inc,11260,1994,Information Technology,San Jose,Executive Assistant,69069.85100000001,3.31,0.91,0.62,0.37,3.2800000000000002,3.8,3.64,4.01,2.38
0,2638769,1,1,2012-06-01,2012-12-01,6,GOOGLE INC,53600,14,1998,Information Technology,San Francisco,consultant,97375.3612365589,4.53,1.0,1.0,0.73,4.03,4.52,4.92,4.43,4.02,1,53.99290978215868,2013-03-01,2014-08-01,17,John Muir Health,3612,1958,Health Care,San Francisco,consultant,97429.35414634107,3.5,0.61,0.72,0.22,3.4,4.02,2.79,3.8,3.13
