,leftEmployer,jobLength_old,avgSalary,ratingBusinessOutlook,ratingCareerOpportunities,ratingCeo,ratingCompensationAndBenefits,ratingCultureAndValues,ratingOverall,ratingRecommendToFriend,ratingSeniorManagement,ratingWorkLifeBalance,employeesTotalNum,gdSectorName,metro,jobTitle,ratepca_f,ratingBusinessOutlook_f,ratingCareerOpportunities_f,ratingCeo_f,ratingCompensationAndBenefits_f,ratingCultureAndValues_f,ratingOverall_f,ratingRecommendToFriend_f,ratingSeniorManagement_f,ratingWorkLifeBalance_f,avgSalary_f,job_f
0,1,56.567567567567565,36.2972972972973,62.5945945945946,72.62162162162163,73.1891891891892,75.16216216216216,71.53153153153153,83.63963963963964,75.8108108108108,78.36036036036036,78.87387387387388,22500,14,57,1241,223.4938320036036,-0.39583333333333337,0.09467455621301783,-0.14606741573033707,-0.07887323943661967,-0.11081081081081084,-0.10209424083769626,-0.141025641025641,-0.15315315315315323,-0.24598930481283432,1.0333333333333334,1.3076923076923077
1,0,23.0990990990991,1.0990990990990992,53.072072072072075,37.5045045045045,58.14414414414414,79.04504504504504,39.45945945945946,78.11711711711712,67.63063063063063,57.36036036036036,71.36936936936937,8500,8,32,1109,178.77562748774776,-0.3720930232558139,0.030612244897959134,0.012345679012345552,-0.005540166204986155,0.03174603174603177,-0.005390835579514829,0.1506849315068493,0.016722408026755793,0.04972375690607727,0.2859881235154395,2.8
2,0,61.693693693693696,35.16216216216216,38.88288288288288,25.64864864864865,19.954954954954953,46.4054054054054,33.31531531531532,21.765765765765767,19.936936936936938,30.036036036036037,27.945945945945947,14500,9,22,1214,85.63722524522522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16801895246058224,1.3333333333333333
3,1,39.450450450450454,68.50450450450451,27.35135135135135,73.42342342342343,83.14414414414415,47.03603603603604,73.03603603603604,72.62162162162163,86.03603603603604,79.0,90.07207207207207,1662,8,22,473,212.90719513396397,-0.2,-0.02359882005899707,-0.351063829787234,0.05660377358490557,-0.09677419354838718,-0.027700831024930775,-0.13095238095238093,-0.12275449101796398,-0.025252525252525276,-0.6386409987938334,1.8888888888888888
4,0,92.96396396396396,21.65765765765766,29.396396396396398,28.846846846846848,24.0,62.37837837837838,90.82882882882883,87.61261261261261,57.270270270270274,85.57657657657657,94.93693693693693,7500,8,52,564,190.1070302844144,-0.3870967741935484,-0.02482269503546094,0.8518518518518517,-0.059171597633136015,0.03406326034063252,0.043589743589743685,0.3731343283582089,0.03448275862068969,0.11707317073170743,0.13600707981373106,1.6666666666666667
5,0,39.450450450450454,32.24324324324324,40.873873873873876,75.57657657657657,69.22522522522523,78.50450450450451,74.48648648648648,87.61261261261261,90.01801801801801,81.34234234234235,77.34234234234235,9607,8,69,1150,226.77139451936938,-0.054054054054054106,-0.0233918128654971,0.011494252873563229,0.0027777777777777185,-0.0053475935828877046,-0.0307692307692308,-0.08045977011494247,-0.032448377581121034,0.04032258064516126,-0.0014930184464473375,1.3333333333333333
6,0,35.68468468468468,11.126126126126126,56.7027027027027,98.07207207207207,89.75675675675676,98.53153153153153,84.77477477477477,76.27027027027027,59.270270270270274,85.57657657657657,30.144144144144143,72500,20,42,903,225.94099559405404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5967400594704022,1.625
7,1,70.08108108108108,23.414414414414413,14.72072072072072,7.648648648648648,0.5315315315315315,9.927927927927929,6.675675675675675,8.468468468468469,7.801801801801802,1.018018018018018,5.45945945945946,118500,23,22,418,20.143637694234233,3.5454545454545454,0.0756302521008404,inf,0.3692946058091285,1.1645021645021645,0.12851405622489953,0.5333333333333334,0.5426829268292682,0.6410256410256411,-0.007247298156388984,1.8421052631578947
8,0,39.450450450450454,66.43243243243244,40.873873873873876,65.38738738738739,77.66666666666667,87.66666666666667,67.74774774774775,52.96396396396396,49.090090090090094,16.36036036036036,91.98198198198199,11260,12,83,773,178.09933187468468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14592400020528387,3.4444444444444446
9,1,27.513513513513512,90.0,91.72072072072072,97.01801801801801,95.24324324324324,99.54054054054055,99.74774774774775,99.27927927927928,99.67567567567568,97.72072072072072,98.990990990991,53600,12,82,1240,291.4341340574775,-0.6986301369863014,-0.1563275434243177,-0.39,-0.11061946902654868,-0.4329268292682927,-0.22737306843267113,-0.28,-0.22139303482587058,-0.14221218961625282,0.0005544822539965271,3.8333333333333335
