,leftEmployer,jobLength_old,avgSalary,ratingBusinessOutlook,ratingCareerOpportunities,ratingCeo,ratingCompensationAndBenefits,ratingCultureAndValues,ratingOverall,ratingRecommendToFriend,ratingSeniorManagement,ratingWorkLifeBalance
0,1,13,30480.0,0.48,3.38,0.89,3.55,3.7,3.82,0.78,3.33,3.74
1,0,5,16840.0,0.43,2.94,0.81,3.61,3.15,3.71,0.73,2.99,3.62
2,0,15,29895.21777777777,0.36,2.77,0.49,3.17,3.05,2.82,0.43,2.63,2.94
3,1,9,62891.55,0.3,3.39,0.94,3.18,3.72,3.61,0.84,3.34,3.96
4,0,36,23451.42857142857,0.31,2.82,0.54,3.38,4.11,3.9,0.67,3.48,4.1
5,0,9,28337.714285714286,0.37,3.42,0.87,3.6,3.74,3.9,0.87,3.39,3.72
6,0,8,20301.43972602739,0.45,4.14,0.99,4.3,3.95,3.68,0.68,3.48,2.97
7,1,19,24200.0,0.22,2.38,0.0,2.41,2.31,2.49,0.3,1.64,2.34
8,0,9,60274.37333333332,0.37,3.28,0.91,3.8,3.64,3.31,0.62,2.38,4.01
9,1,6,97375.3612365589,0.73,4.03,1.0,4.52,4.92,4.53,1.0,4.02,4.43
10,1,35,119550.87222222224,0.39,3.2,0.62,2.72,3.71,3.25,0.74,2.62,2.91
11,0,4,19558.0,0.71,3.93,1.0,3.38,4.38,4.32,0.94,3.84,4.1
12,1,12,85066.94015000029,0.31,2.25,0.99,1.82,3.08,2.87,0.25,2.59,3.01
13,1,4,50012.56,0.84,3.36,0.69,3.85,4.88,3.52,0.61,3.34,3.74
14,1,3,20429.50163194444,0.62,2.42,0.0,2.73,1.75,2.25,0.18,2.12,2.6
15,0,2,22800.0,0.62,2.82,0.75,3.5,3.62,3.42,0.53,2.47,3.09
16,0,5,114288.9775,0.52,3.45,0.89,2.68,4.16,3.08,0.75,3.0,2.1
17,0,3,34996.70772151898,0.12,3.08,0.63,2.64,3.12,2.74,0.6,2.75,2.0
18,1,6,80834.80288690534,0.92,4.27,1.0,3.78,3.97,4.11,0.88,3.98,3.81
19,1,22,80217.91272727257,0.26,3.15,0.43,2.84,3.68,3.16,0.58,2.67,2.69
20,1,2,92137.07984782716,1.0,2.81,1.0,3.01,4.0,2.22,0.28,1.9,2.26
21,1,3,89605.12622340265,0.42,3.09,0.84,3.15,3.18,3.26,0.66,3.04,3.21
22,1,4,88397.26702020217,0.08,2.21,0.16,2.89,2.2,2.53,0.28,1.82,2.55
23,0,17,24155.991578947367,0.53,3.41,0.81,3.26,3.64,3.88,0.82,3.24,3.7
24,1,7,38614.16078212292,0.2,2.62,0.48,2.57,2.64,2.68,0.43,2.58,3.25
25,1,2,15468.6,0.79,3.52,1.0,3.47,4.28,4.27,0.96,3.84,4.17
26,1,3,91612.78333333335,0.79,3.69,0.93,3.79,3.76,3.91,0.86,3.47,3.54
27,1,6,27635.351304347827,0.28,3.21,0.85,3.38,3.63,3.62,0.77,3.15,4.04
28,1,3,34996.70772151898,0.36,3.36,0.79,3.56,3.41,3.37,0.62,3.03,3.68
29,0,15,28695.583999999995,0.63,3.66,0.97,3.58,4.61,4.13,0.91,4.01,4.05
30,0,13,39703.32125,0.82,4.25,0.93,3.72,4.43,4.29,0.87,4.16,3.45
31,0,16,17438.41684210526,0.6,3.36,0.88,3.4,3.63,3.32,0.67,2.94,2.92
32,1,12,21002.222222222223,0.39,3.13,0.84,3.56,3.45,3.27,0.68,2.9,3.13
33,0,34,51264.76,0.88,3.81,0.93,4.18,4.58,4.19,0.93,4.11,4.15
34,1,20,103040.18853185652,0.3,3.26,0.64,3.26,3.55,3.29,0.67,3.21,3.66
35,0,2,85235.15352112695,0.38,3.7,1.0,3.59,3.56,3.5,0.64,3.39,3.72
36,1,9,63189.792424242376,0.37,3.04,1.0,3.19,2.98,2.97,0.49,2.74,3.28
